variant,N,P,imb,delta,rep,seconds,rc
parpseq,50000,8,15,0,1,0.012570,0
parpseq,50000,8,15,0,2,0.012832,0
parpseq,50000,8,15,0,3,0.012706,0
parpseq,50000,8,20,0,1,0.012886,0
parpseq,50000,8,20,0,2,0.012586,0
parpseq,50000,8,20,0,3,0.012566,0
parpseq,50000,8,25,0,1,0.012898,0
parpseq,50000,8,25,0,2,0.012836,0
parpseq,50000,8,25,0,3,0.012621,0
parpseq,50000,8,30,0,1,0.012997,0
parpseq,50000,8,30,0,2,0.012465,0
parpseq,50000,8,30,0,3,0.012402,0
parpseq,50000,8,35,0,1,0.012573,0
parpseq,50000,8,35,0,2,0.012519,0
parpseq,50000,8,35,0,3,0.012454,0
parpseq,50000,8,40,0,1,0.012377,0
parpseq,50000,8,40,0,2,0.012644,0
parpseq,50000,8,40,0,3,0.012630,0
parpseq,50000,8,45,0,1,0.012654,0
parpseq,50000,8,45,0,2,0.012461,0
parpseq,50000,8,45,0,3,0.012476,0
parpseq,50000,8,50,0,1,0.012551,0
parpseq,50000,8,50,0,2,0.012580,0
parpseq,50000,8,50,0,3,0.012496,0
parpseq,50000,8,55,0,1,0.012508,0
parpseq,50000,8,55,0,2,0.012531,0
parpseq,50000,8,55,0,3,0.012533,0
parpseq,50000,8,60,0,1,0.012789,0
parpseq,50000,8,60,0,2,0.012499,0
parpseq,50000,8,60,0,3,0.012344,0
parpseq,50000,8,65,0,1,0.012496,0
parpseq,50000,8,65,0,2,0.012688,0
parpseq,50000,8,65,0,3,0.012636,0
parpseq,50000,8,70,0,1,0.012751,0
parpseq,50000,8,70,0,2,0.012683,0
parpseq,50000,8,70,0,3,0.012494,0
parpseq,50000,8,75,0,1,0.012719,0
parpseq,50000,8,75,0,2,0.012601,0
parpseq,50000,8,75,0,3,0.012529,0
parpseq,50000,8,80,0,1,0.013170,0
parpseq,50000,8,80,0,2,0.012496,0
parpseq,50000,8,80,0,3,0.012339,0
parpseq,50000,8,85,0,1,0.012966,0
parpseq,50000,8,85,0,2,0.012616,0
parpseq,50000,8,85,0,3,0.012588,0
parpseq,50000,8,90,0,1,0.012589,0
parpseq,50000,8,90,0,2,0.012393,0
parpseq,50000,8,90,0,3,0.012592,0
parpseq,50000,8,95,0,1,0.012857,0
parpseq,50000,8,95,0,2,0.012655,0
parpseq,50000,8,95,0,3,0.012618,0
parpseq,50000,8,100,0,1,0.067393,0
parpseq,50000,8,100,0,2,0.058594,0
parpseq,50000,8,100,0,3,0.080143,0
parpseq,100000,1,0,0,1,0.012433,0
parpseq,100000,1,0,0,2,0.012575,0
parpseq,100000,1,0,0,3,0.012457,0
parpseq,100000,1,5,0,1,0.012649,0
parpseq,100000,1,5,0,2,0.012259,0
parpseq,100000,1,5,0,3,0.012494,0
parpseq,100000,1,10,0,1,0.012603,0
parpseq,100000,1,10,0,2,0.012554,0
parpseq,100000,1,10,0,3,0.012524,0
parpseq,100000,1,15,0,1,0.012631,0
parpseq,100000,1,15,0,2,0.013012,0
parpseq,100000,1,15,0,3,0.012575,0
parpseq,100000,1,20,0,1,0.012707,0
parpseq,100000,1,20,0,2,0.012828,0
parpseq,100000,1,20,0,3,0.012670,0
parpseq,100000,1,25,0,1,0.012506,0
parpseq,100000,1,25,0,2,0.012672,0
