variant,N,P,imb,delta,rep,seconds,rc
super,50000,8,20,0,3,0.007512759,0
super,50000,8,25,0,1,0.004746645,0
super,50000,8,25,0,2,0.005702884,0
super,50000,8,25,0,3,0.010701021,0
super,50000,8,30,0,1,0.004900524,0
super,50000,8,30,0,2,0.009760599,0
super,50000,8,30,0,3,0.006435395,0
super,50000,8,35,0,1,0.006956280,0
super,50000,8,35,0,2,0.004332204,0
super,50000,8,35,0,3,0.004473873,0
super,50000,8,40,0,1,0.005897437,0
super,50000,8,40,0,2,0.004308936,0
super,50000,8,40,0,3,0.004345565,0
super,50000,8,45,0,1,0.006074738,0
super,50000,8,45,0,2,0.006362483,0
super,50000,8,45,0,3,0.004381116,0
super,50000,8,50,0,1,0.005318984,0
super,50000,8,50,0,2,0.007553707,0
super,50000,8,50,0,3,0.009287867,0
super,50000,8,55,0,1,0.016878277,0
super,50000,8,55,0,2,0.006144973,0
super,50000,8,55,0,3,0.005441085,0
super,50000,8,60,0,1,0.005029414,0
super,50000,8,60,0,2,0.005645573,0
super,50000,8,60,0,3,0.008516609,0
super,50000,8,65,0,1,0.007832747,0
super,50000,8,65,0,2,0.009239037,0
super,50000,8,65,0,3,0.008641165,0
super,50000,8,70,0,1,0.006578869,0
super,50000,8,70,0,2,0.011087758,0
super,50000,8,70,0,3,0.005814493,0
super,50000,8,75,0,1,0.005191725,0
super,50000,8,75,0,2,0.004478909,0
super,50000,8,75,0,3,0.011838695,0
super,50000,8,80,0,1,0.004554115,0
super,50000,8,80,0,2,0.007821572,0
super,50000,8,80,0,3,0.004507532,0
super,50000,8,85,0,1,0.004328469,0
super,50000,8,85,0,2,0.004441450,0
super,50000,8,85,0,3,0.011659497,0
super,50000,8,90,0,1,0.004321160,0
super,50000,8,90,0,2,0.004961091,0
super,50000,8,90,0,3,0.009283245,0
super,50000,8,95,0,1,0.005705974,0
super,50000,8,95,0,2,0.004090666,0
super,50000,8,95,0,3,0.004359216,0
super,50000,8,100,0,1,0.005420629,0
super,50000,8,100,0,2,0.008685101,0
super,50000,8,100,0,3,0.007633663,0
super,100000,1,0,0,1,0.000456739,0
super,100000,1,0,0,2,0.000461311,0
super,100000,1,0,0,3,0.000559129,0
super,100000,1,5,0,1,0.000423724,0
super,100000,1,5,0,2,0.000523869,0
super,100000,1,5,0,3,0.001437218,0
super,100000,1,10,0,1,0.000403760,0
super,100000,1,10,0,2,0.000380297,0
super,100000,1,10,0,3,0.000539136,0
super,100000,1,15,0,1,0.000530401,0
super,100000,1,15,0,2,0.000546681,0
super,100000,1,15,0,3,0.000510678,0
super,100000,1,20,0,1,0.000415956,0
super,100000,1,20,0,2,0.000475441,0
super,100000,1,20,0,3,0.000440511,0
super,100000,1,25,0,1,0.000415146,0
super,100000,1,25,0,2,0.000396282,0
super,100000,1,25,0,3,0.000587741,0
super,100000,1,30,0,1,0.000878843,0
super,100000,1,30,0,2,0.000479802,0
super,100000,1,30,0,3,0.000517695,0
super,100000,1,35,0,1,0.000455973,0
super,100000,1,35,0,2,0.000534121,0
super,100000,1,35,0,3,0.000585514,0
super,100000,1,40,0,1,0.000404021,0
super,100000,1,40,0,2,0.000394707,0
super,100000,1,40,0,3,0.000391567,0
super,100000,1,45,0,1,0.000427988,0
super,100000,1,45,0,2,0.000409831,0
super,100000,1,45,0,3,0.000496545,0
super,100000,1,50,0,1,0.000540348,0
super,100000,1,50,0,2,0.000542707,0
super,100000,1,50,0,3,0.000446981,0
super,100000,1,55,0,1,0.000687226,0
super,100000,1,55,0,2,0.000997550,0
super,100000,1,55,0,3,0.000576906,0
super,100000,1,60,0,1,0.000436004,0
super,100000,1,60,0,2,0.000415116,0
super,100000,1,60,0,3,0.002725676,0
super,100000,1,65,0,1,0.000483372,0
super,100000,1,65,0,2,0.000529481,0
super,100000,1,65,0,3,0.000419687,0
super,100000,1,70,0,1,0.000553513,0
super,100000,1,70,0,2,0.000531458,0
super,100000,1,70,0,3,0.000488267,0
super,100000,1,75,0,1,0.000570386,0
super,100000,1,75,0,2,0.000498613,0
super,100000,1,75,0,3,0.000447523,0
super,100000,1,80,0,1,0.000465550,0
super,100000,1,80,0,2,0.000592010,0
super,100000,1,80,0,3,0.000983828,0
super,100000,1,85,0,1,0.000415584,0
super,100000,1,85,0,2,0.000456121,0
super,100000,1,85,0,3,0.000412948,0
super,100000,1,90,0,1,0.000407240,0
super,100000,1,90,0,2,0.000545392,0
super,100000,1,90,0,3,0.000387524,0
super,100000,1,95,0,1,0.000536464,0
super,100000,1,95,0,2,0.000639728,0
super,100000,1,95,0,3,0.000515876,0
super,100000,1,100,0,1,0.000386911,0
super,100000,1,100,0,2,0.000384051,0
super,100000,1,100,0,3,0.000379016,0
super,100000,2,0,0,1,0.001564042,0
super,100000,2,0,0,2,0.002621408,0
super,100000,2,0,0,3,0.001741355,0
super,100000,2,5,0,1,0.001870982,0
super,100000,2,5,0,2,0.001585921,0
super,100000,2,5,0,3,0.001912841,0
super,100000,2,10,0,1,0.001607802,0
super,100000,2,10,0,2,0.001553838,0
super,100000,2,10,0,3,0.001671926,0
super,100000,2,15,0,1,0.001840914,0
super,100000,2,15,0,2,0.001673587,0
super,100000,2,15,0,3,0.001286308,0
super,100000,2,20,0,1,0.001621992,0
super,100000,2,20,0,2,0.001670691,0
super,100000,2,20,0,3,0.002040529,0
super,100000,2,25,0,1,0.001650989,0
super,100000,2,25,0,2,0.001724929,0
super,100000,2,25,0,3,0.001624278,0
super,100000,2,30,0,1,0.001542224,0
super,100000,2,30,0,2,0.001709744,0
super,100000,2,30,0,3,0.001581061,0
super,100000,2,35,0,1,0.001655751,0
super,100000,2,35,0,2,0.001695823,0
super,100000,2,35,0,3,0.001613044,0
super,100000,2,40,0,1,0.001640563,0
super,100000,2,40,0,2,0.001557963,0
super,100000,2,40,0,3,0.001649019,0
super,100000,2,45,0,1,0.001207049,0
super,100000,2,45,0,2,0.001677940,0
super,100000,2,45,0,3,0.001645895,0
super,100000,2,50,0,1,0.001557174,0
super,100000,2,50,0,2,0.001868079,0
super,100000,2,50,0,3,0.001914247,0
super,100000,2,55,0,1,0.001712115,0
super,100000,2,55,0,2,0.001657550,0
super,100000,2,55,0,3,0.001710721,0
super,100000,2,60,0,1,0.001665833,0
super,100000,2,60,0,2,0.001642614,0
super,100000,2,60,0,3,0.001807531,0
super,100000,2,65,0,1,0.001590169,0
super,100000,2,65,0,2,0.001705579,0
super,100000,2,65,0,3,0.001601971,0
super,100000,2,70,0,1,0.001626259,0
super,100000,2,70,0,2,0.001707850,0
super,100000,2,70,0,3,0.001698194,0
super,100000,2,75,0,1,0.001575442,0
super,100000,2,75,0,2,0.001538919,0
super,100000,2,75,0,3,0.001685109,0
super,100000,2,80,0,1,0.002323681,0
super,100000,2,80,0,2,0.001825188,0
super,100000,2,80,0,3,0.001613410,0
super,100000,2,85,0,1,0.001589576,0
super,100000,2,85,0,2,0.001812407,0
super,100000,2,85,0,3,0.001708682,0
super,100000,2,90,0,1,0.001646643,0
super,100000,2,90,0,2,0.001649553,0
super,100000,2,90,0,3,0.001664266,0
super,100000,2,95,0,1,0.001616187,0
super,100000,2,95,0,2,0.001620864,0
super,100000,2,95,0,3,0.001744432,0
super,100000,2,100,0,1,0.001617264,0
super,100000,2,100,0,2,0.002563933,0
super,100000,2,100,0,3,0.001691908,0
super,100000,4,0,0,1,0.002682232,0
super,100000,4,0,0,2,0.002891673,0
super,100000,4,0,0,3,0.002182070,0
super,100000,4,5,0,1,0.002155848,0
super,100000,4,5,0,2,0.002054689,0
super,100000,4,5,0,3,0.002290872,0
super,100000,4,10,0,1,0.002154345,0
super,100000,4,10,0,2,0.002669665,0
super,100000,4,10,0,3,0.002537252,0
super,100000,4,15,0,1,0.002145848,0
super,100000,4,15,0,2,0.004820069,0
super,100000,4,15,0,3,0.002751635,0
super,100000,4,20,0,1,0.002299230,0
super,100000,4,20,0,2,0.002129158,0
super,100000,4,20,0,3,0.002067779,0
super,100000,4,25,0,1,0.002273498,0
super,100000,4,25,0,2,0.006048677,0
super,100000,4,25,0,3,0.002594525,0
super,100000,4,30,0,1,0.002265367,0
super,100000,4,30,0,2,0.002407510,0
super,100000,4,30,0,3,0.002585738,0
super,100000,4,35,0,1,0.002315194,0
super,100000,4,35,0,2,0.003957583,0
super,100000,4,35,0,3,0.002830341,0
super,100000,4,40,0,1,0.002228471,0
super,100000,4,40,0,2,0.002713324,0
super,100000,4,40,0,3,0.002413002,0
super,100000,4,45,0,1,0.002123112,0
super,100000,4,45,0,2,0.002289776,0
super,100000,4,45,0,3,0.002166335,0
super,100000,4,50,0,1,0.002653443,0
super,100000,4,50,0,2,0.002389984,0
super,100000,4,50,0,3,0.002522275,0
super,100000,4,55,0,1,0.002443902,0
super,100000,4,55,0,2,0.002756674,0
super,100000,4,55,0,3,0.002716818,0
super,100000,4,60,0,1,0.002272294,0
super,100000,4,60,0,2,0.002277512,0
super,100000,4,60,0,3,0.002193662,0
super,100000,4,65,0,1,0.002189220,0
super,100000,4,65,0,2,0.002303651,0
super,100000,4,65,0,3,0.002225364,0
super,100000,4,70,0,1,0.002400140,0
super,100000,4,70,0,2,0.002746335,0
super,100000,4,70,0,3,0.002317051,0
super,100000,4,75,0,1,0.002833723,0
super,100000,4,75,0,2,0.005120389,0
super,100000,4,75,0,3,0.002398518,0
super,100000,4,80,0,1,0.002395145,0
super,100000,4,80,0,2,0.002654693,0
super,100000,4,80,0,3,0.002127305,0
super,100000,4,85,0,1,0.002757565,0
super,100000,4,85,0,2,0.002209100,0
super,100000,4,85,0,3,0.002248648,0
super,100000,4,90,0,1,0.002188416,0
super,100000,4,90,0,2,0.002234104,0
super,100000,4,90,0,3,0.002225167,0
super,100000,4,95,0,1,0.002172588,0
super,100000,4,95,0,2,0.002741597,0
super,100000,4,95,0,3,0.002318390,0
super,100000,4,100,0,1,0.002301408,0
super,100000,4,100,0,2,0.002227065,0
super,100000,4,100,0,3,0.002119387,0
super,100000,8,0,0,1,0.007919018,0
super,100000,8,0,0,2,0.004458022,0
super,100000,8,0,0,3,0.007878737,0
super,100000,8,5,0,1,0.004388729,0
super,100000,8,5,0,2,0.004560652,0
super,100000,8,5,0,3,0.007994278,0
super,100000,8,10,0,1,0.005531213,0
