N,P,rep,seconds,rc
136,8,2,0.909845,0
136,8,3,0.994892,0
136,8,4,0.900577,0
136,8,5,0.939795,0
136,8,6,0.894062,0
136,8,7,0.928500,0
136,8,8,0.994483,0
136,8,9,0.951282,0
136,8,10,0.892736,0
144,2,1,1.038916,0
144,2,2,1.060653,0
144,2,3,1.007959,0
144,2,4,1.085727,0
144,2,5,1.004461,0
144,2,6,1.031333,0
144,2,7,1.036883,0
144,2,8,0.989833,0
144,2,9,1.038712,0
144,2,10,0.988349,0
144,4,1,1.037850,0
144,4,2,1.037224,0
144,4,3,0.995925,0
144,4,4,0.999037,0
144,4,5,1.012006,0
144,4,6,1.009022,0
144,4,7,1.002540,0
144,4,8,1.033316,0
144,4,9,1.024798,0
144,4,10,1.011759,0
144,6,1,1.035193,0
144,6,2,0.966822,0
144,6,3,1.076613,0
144,6,4,0.980694,0
144,6,5,1.043948,0
144,6,6,0.989368,0
144,6,7,1.049037,0
144,6,8,1.034094,0
144,6,9,0.997622,0
144,6,10,0.992935,0
144,8,1,0.989293,0
144,8,2,1.041201,0
144,8,3,1.035059,0
144,8,4,1.012848,0
144,8,5,1.025833,0
144,8,6,1.041258,0
144,8,7,1.035044,0
144,8,8,1.009571,0
144,8,9,1.043938,0
144,8,10,1.045134,0
152,2,1,1.165662,0
152,2,2,1.179544,0
152,2,3,1.139276,0
152,2,4,1.156505,0
152,2,5,1.072734,0
152,2,6,1.150686,0
152,2,7,1.102476,0
152,2,8,1.154424,0
152,2,9,1.165982,0
152,2,10,1.133450,0
152,4,1,1.141164,0
152,4,2,1.109630,0
152,4,3,1.096233,0
152,4,4,1.132998,0
152,4,5,1.068036,0
152,4,6,1.142711,0
152,4,7,1.082890,0
152,4,8,1.076909,0
152,4,9,1.139965,0
152,4,10,1.112716,0
152,6,1,1.088765,0
152,6,2,1.108477,0
152,6,3,1.113980,0
152,6,4,1.095544,0
152,6,5,1.120802,0
152,6,6,1.105923,0
152,6,7,1.087850,0
152,6,8,1.115717,0
152,6,9,1.084499,0
152,6,10,1.086081,0
152,8,1,1.061497,0
152,8,2,1.089357,0
152,8,3,1.077979,0
152,8,4,1.128482,0
152,8,5,1.159864,0
152,8,6,1.117432,0
152,8,7,1.086696,0
152,8,8,1.163971,0
152,8,9,1.116459,0
152,8,10,1.108620,0
160,2,1,1.248567,0
160,2,2,1.286965,0
160,2,3,1.250514,0
160,2,4,1.252026,0
160,2,5,1.260031,0
160,2,6,1.177157,0
160,2,7,1.267732,0
160,2,8,1.257233,0
160,2,9,1.180274,0
160,2,10,1.271072,0
160,4,1,1.166717,0
160,4,2,1.193311,0
160,4,3,1.193005,0
160,4,4,1.222250,0
160,4,5,1.259384,0
160,4,6,1.263582,0
160,4,7,1.220310,0
160,4,8,1.178573,0
160,4,9,1.279467,0
160,4,10,1.203990,0
160,6,1,1.189747,0
160,6,2,1.215759,0
160,6,3,1.201026,0
160,6,4,1.183331,0
160,6,5,1.215399,0
160,6,6,1.208464,0
160,6,7,1.186037,0
160,6,8,1.176458,0
160,6,9,1.221784,0
160,6,10,1.179124,0
160,8,1,1.181243,0
160,8,2,1.251952,0
160,8,3,1.206502,0
160,8,4,1.264506,0
160,8,5,1.231145,0
160,8,6,1.227638,0
160,8,7,1.249598,0
160,8,8,1.206389,0
160,8,9,1.254089,0
160,8,10,1.197974,0
168,2,1,1.360244,0
168,2,2,1.403110,0
168,2,3,1.333176,0
168,2,4,1.438214,0
168,2,5,1.383321,0
168,2,6,1.354452,0
168,2,7,1.326963,0
168,2,8,1.314475,0
168,2,9,1.396822,0
168,2,10,1.371128,0
168,4,1,1.254479,0
168,4,2,1.421734,0
168,4,3,1.381890,0
168,4,4,1.350478,0
168,4,5,1.343787,0
168,4,6,1.332886,0
168,4,7,1.329572,0
168,4,8,1.354766,0
168,4,9,1.330872,0
168,4,10,1.332621,0
168,6,1,1.305609,0
168,6,2,1.302943,0
168,6,3,1.324431,0
168,6,4,1.392904,0
168,6,5,1.348872,0
168,6,6,1.338303,0
168,6,7,1.314382,0
168,6,8,1.275583,0
168,6,9,1.268028,0
168,6,10,1.317765,0
168,8,1,1.294553,0
168,8,2,1.319697,0
168,8,3,1.331524,0
168,8,4,1.320392,0
168,8,5,1.304070,0
168,8,6,1.394500,0
168,8,7,1.328352,0
168,8,8,1.283861,0
168,8,9,1.328668,0
168,8,10,1.417862,0
176,2,1,1.468891,0
176,2,2,1.491096,0
176,2,3,1.491145,0
176,2,4,1.536381,0
176,2,5,1.491646,0
176,2,6,1.436036,0
176,2,7,1.475040,0
176,2,8,1.477362,0
176,2,9,1.431431,0
176,2,10,1.415707,0
176,4,1,1.370422,0
176,4,2,1.454302,0
176,4,3,1.414998,0
176,4,4,1.446673,0
176,4,5,1.426087,0
176,4,6,1.449337,0
176,4,7,1.439405,0
176,4,8,1.489389,0
176,4,9,1.439942,0
176,4,10,1.462998,0
176,6,1,1.436167,0
176,6,2,1.456772,0
176,6,3,1.384030,0
176,6,4,1.395625,0
