variant,N,P,imb,delta,rep,seconds,rc
ghc,1000,4,1,-2,7,0.012046,0
ghc,1000,4,1,-2,8,0.012145,0
ghc,1000,4,1,-2,9,0.012119,0
ghc,1000,4,1,-2,10,0.012097,0
ghc,1000,4,25,0,1,0.012205,0
ghc,1000,4,25,0,2,0.012099,0
ghc,1000,4,25,0,3,0.012247,0
ghc,1000,4,25,0,4,0.012181,0
ghc,1000,4,25,0,5,0.012089,0
ghc,1000,4,25,0,6,0.012065,0
ghc,1000,4,25,0,7,0.012208,0
ghc,1000,4,25,0,8,0.012062,0
ghc,1000,4,25,0,9,0.012213,0
ghc,1000,4,25,0,10,0.012199,0
ghc,1000,4,25,2,1,0.012260,0
ghc,1000,4,25,2,2,0.012439,0
ghc,1000,4,25,2,3,0.012163,0
ghc,1000,4,25,2,4,0.012213,0
ghc,1000,4,25,2,5,0.012280,0
ghc,1000,4,25,2,6,0.012207,0
ghc,1000,4,25,2,7,0.012238,0
ghc,1000,4,25,2,8,0.012228,0
ghc,1000,4,25,2,9,0.011940,0
ghc,1000,4,25,2,10,0.012198,0
ghc,1000,4,25,-2,1,0.012484,0
ghc,1000,4,25,-2,2,0.012276,0
ghc,1000,4,25,-2,3,0.012250,0
ghc,1000,4,25,-2,4,0.012309,0
ghc,1000,4,25,-2,5,0.012202,0
ghc,1000,4,25,-2,6,0.012174,0
ghc,1000,4,25,-2,7,0.012150,0
ghc,1000,4,25,-2,8,0.012234,0
ghc,1000,4,25,-2,9,0.011995,0
ghc,1000,4,25,-2,10,0.012126,0
ghc,1000,4,50,0,1,0.012336,0
ghc,1000,4,50,0,2,0.012538,0
ghc,1000,4,50,0,3,0.012299,0
ghc,1000,4,50,0,4,0.012444,0
ghc,1000,4,50,0,5,0.012382,0
ghc,1000,4,50,0,6,0.012338,0
ghc,1000,4,50,0,7,0.012202,0
ghc,1000,4,50,0,8,0.012220,0
ghc,1000,4,50,0,9,0.012279,0
ghc,1000,4,50,0,10,0.012288,0
ghc,1000,4,50,2,1,0.012205,0
ghc,1000,4,50,2,2,0.012222,0
ghc,1000,4,50,2,3,0.012366,0
ghc,1000,4,50,2,4,0.012129,0
ghc,1000,4,50,2,5,0.012148,0
ghc,1000,4,50,2,6,0.012225,0
ghc,1000,4,50,2,7,0.012238,0
ghc,1000,4,50,2,8,0.012238,0
ghc,1000,4,50,2,9,0.012102,0
ghc,1000,4,50,2,10,0.012079,0
ghc,1000,4,50,-2,1,0.012240,0
ghc,1000,4,50,-2,2,0.012358,0
ghc,1000,4,50,-2,3,0.013213,0
ghc,1000,4,50,-2,4,0.012492,0
ghc,1000,4,50,-2,5,0.012000,0
ghc,1000,4,50,-2,6,0.012043,0
ghc,1000,4,50,-2,7,0.012764,0
ghc,1000,4,50,-2,8,0.013273,0
ghc,1000,4,50,-2,9,0.013961,0
ghc,1000,4,50,-2,10,0.014870,0
ghc,1000,4,75,0,1,0.012975,0
ghc,1000,4,75,0,2,0.012483,0
ghc,1000,4,75,0,3,0.012385,0
ghc,1000,4,75,0,4,0.012109,0
ghc,1000,4,75,0,5,0.012335,0
ghc,1000,4,75,0,6,0.012088,0
ghc,1000,4,75,0,7,0.012031,0
ghc,1000,4,75,0,8,0.012111,0
ghc,1000,4,75,0,9,0.011944,0
ghc,1000,4,75,0,10,0.011920,0
ghc,1000,4,75,2,1,0.012546,0
ghc,1000,4,75,2,2,0.012589,0
ghc,1000,4,75,2,3,0.012357,0
ghc,1000,4,75,2,4,0.011942,0
ghc,1000,4,75,2,5,0.012218,0
ghc,1000,4,75,2,6,0.012324,0
