variant,N,P,rep,seconds,rc
ghc,9500000,16,1,0.269814733,0
ghc,9500000,16,2,0.330707169,0
ghc,9500000,16,3,0.27952347,0
ghc,9500000,32,1,0.312211803,0
ghc,9500000,32,2,0.266055462,0
ghc,9500000,32,3,0.277827699,0
ghc,10000000,1,1,1.036076593,0
ghc,10000000,1,2,1.028396787,0
ghc,10000000,1,3,1.027494458,0
ghc,10000000,2,1,0.881679798,0
ghc,10000000,2,2,0.812298834,0
ghc,10000000,2,3,0.557557136,0
ghc,10000000,4,1,0.390572766,0
ghc,10000000,4,2,0.419153521,0
ghc,10000000,4,3,0.45451027,0
ghc,10000000,8,1,0.309420424,0
ghc,10000000,8,2,0.322865587,0
ghc,10000000,8,3,0.356280429,0
ghc,10000000,16,1,0.293532028,0
ghc,10000000,16,2,0.284601443,0
ghc,10000000,16,3,0.331420395,0
ghc,10000000,32,1,0.288898122,0
ghc,10000000,32,2,0.281046499,0
ghc,10000000,32,3,0.298458601,0
ghc,10500000,1,1,1.525323915,0
ghc,10500000,1,2,1.086523822,0
ghc,10500000,1,3,1.425141515,0
ghc,10500000,2,1,0.752120966,0
ghc,10500000,2,2,0.641383187,0
ghc,10500000,2,3,0.84319526,0
ghc,10500000,4,1,0.461998681,0
ghc,10500000,4,2,0.56694034,0
ghc,10500000,4,3,0.517836709,0
ghc,10500000,8,1,0.366762924,0
ghc,10500000,8,2,0.403145701,0
ghc,10500000,8,3,0.366691463,0
ghc,10500000,16,1,0.313351776,0
ghc,10500000,16,2,0.350175244,0
ghc,10500000,16,3,0.339242438,0
ghc,10500000,32,1,0.294929448,0
ghc,10500000,32,2,0.28415358,0
ghc,10500000,32,3,0.325597856,0
ghc,11000000,1,1,1.140292817,0
ghc,11000000,1,2,1.137914631,0
ghc,11000000,1,3,1.139782399,0
ghc,11000000,2,1,0.838178576,0
ghc,11000000,2,2,0.790705831,0
ghc,11000000,2,3,0.873648039,0
ghc,11000000,4,1,0.502285467,0
ghc,11000000,4,2,0.440680545,0
ghc,11000000,4,3,0.438755091,0
ghc,11000000,8,1,0.378250834,0
ghc,11000000,8,2,0.352220486,0
ghc,11000000,8,3,0.353148993,0
ghc,11000000,16,1,0.302080653,0
ghc,11000000,16,2,0.337053307,0
ghc,11000000,16,3,0.330723121,0
ghc,11000000,32,1,0.338825872,0
ghc,11000000,32,2,0.295451904,0
ghc,11000000,32,3,0.318452776,0
ghc,11500000,1,1,1.178584775,0
ghc,11500000,1,2,1.617784379,0
ghc,11500000,1,3,1.187257179,0
ghc,11500000,2,1,0.664325714,0
ghc,11500000,2,2,0.974394867,0
ghc,11500000,2,3,0.723844082,0
ghc,11500000,4,1,0.593289003,0
ghc,11500000,4,2,0.610117603,0
ghc,11500000,4,3,0.451128871,0
ghc,11500000,8,1,0.395111987,0
ghc,11500000,8,2,0.362986097,0
ghc,11500000,8,3,0.332063607,0
ghc,11500000,16,1,0.333536207,0
ghc,11500000,16,2,0.329247135,0
ghc,11500000,16,3,0.336536023,0
ghc,11500000,32,1,0.287787558,0
ghc,11500000,32,2,0.342511421,0
ghc,11500000,32,3,0.32942467,0
ghc,12000000,1,1,1.780706129,0
ghc,12000000,1,2,1.239112014,0
ghc,12000000,1,3,1.237211276,0
ghc,12000000,2,1,0.697233036,0
