LCS WAVEFRONT — median speedup with 95% bootstrap CI (10000 paired resamples)
Format: median× [lo×, hi×]

=== N=100000 (SEQ Haskell median = 50.04s; n=14 reps) ===
   P |                 Ribault-Hs |                  Ribault-C |               Ribault-Rust |                  GHC Strat |                     Sucuri |                     Timely |                 Timely-Reb
  24 | 15.73× [15.18, 16.49] | 105.16× [103.71, 124.17] | 88.41× [87.39, 92.93] | 11.61× [11.34, 12.12] |  9.96× [ 9.87, 10.42] | 32.77× [32.43, 34.37] | 83.36× [82.63, 87.19]
  32 | 18.22× [18.02, 19.07] | 106.26× [105.18, 111.05] | 84.66× [83.79, 88.47] | 12.17× [12.02, 12.76] |  9.45× [ 9.16,  9.92] | 85.72× [84.89, 89.75] | 83.50× [82.75, 89.38]
  48 | 20.02× [19.63, 21.00] | 74.52× [70.68, 80.83] | 62.97× [59.44, 66.74] | 13.15× [13.04, 13.78] |  9.05× [ 8.72,  9.46] | 22.16× [21.80, 23.09] | 40.10× [39.52, 41.80]

=== N=500000 (SEQ Haskell median = 1632.22s; n=14 reps) ===
   P |                 Ribault-Hs |                  Ribault-C |               Ribault-Rust |                  GHC Strat |                     Sucuri |                     Timely |                 Timely-Reb
   2 |  2.81× [ 2.69,  3.02] | 18.10× [17.35, 19.43] | 11.81× [11.30, 12.67] |  2.01× [ 1.92,  2.16] |  4.10× [ 3.92,  4.41] | 11.18× [10.65, 11.98] | 11.18× [10.72, 12.03]
   3 |  3.60× [ 3.44,  3.85] | 26.80× [25.68, 28.84] | 17.59× [16.83, 18.86] |  2.68× [ 2.51,  2.94] |  6.52× [ 6.25,  7.05] | 17.15× [16.43, 18.45] | 15.94× [15.25, 17.12]
   4 |  4.76× [ 4.57,  5.13] | 34.18× [32.73, 36.76] | 22.51× [21.59, 24.16] |  3.53× [ 3.38,  3.78] |  8.52× [ 8.17,  9.14] | 22.13× [21.07, 23.71] | 20.87× [20.01, 22.43]
   7 |  6.43× [ 6.16,  6.92] | 56.87× [54.53, 61.28] | 37.59× [36.04, 40.44] |  5.79× [ 5.49,  6.26] |  9.48× [ 9.03, 10.20] | 35.51× [33.92, 38.05] | 33.23× [31.26, 36.07]
   8 |  7.97× [ 7.64,  8.56] | 64.14× [60.65, 68.74] | 41.54× [39.80, 44.70] |  5.02× [ 4.64,  5.42] |  9.72× [ 9.34, 10.52] | 38.45× [36.96, 41.63] | 38.52× [35.71, 41.27]
  13 |  9.43× [ 9.02, 10.14] | 84.11× [79.43, 90.50] | 56.28× [53.10, 61.03] |  7.57× [ 7.08,  8.23] | 10.20× [ 9.79, 10.98] | 32.23× [30.88, 34.60] | 32.04× [30.70, 34.47]
  16 | 12.92× [12.40, 13.88] | 109.86× [103.89, 118.02] | 71.53× [67.89, 76.87] |  9.03× [ 8.55,  9.80] | 10.18× [ 9.75, 10.92] | 70.15× [67.22, 75.48] | 69.13× [65.88, 74.39]
  19 | 12.71× [12.17, 13.65] | 121.02× [115.98, 130.07] | 82.75× [72.01, 89.39] |  9.95× [ 9.55, 10.69] |  9.60× [ 9.16, 10.32] | 45.93× [44.02, 49.38] | 45.33× [43.46, 48.78]
  23 | 14.94× [14.17, 16.09] | 129.34× [124.09, 138.78] | 96.93× [88.07, 104.13] | 11.24× [10.77, 12.06] |  9.96× [ 9.55, 10.71] | 55.05× [52.78, 59.22] | 54.30× [52.20, 58.43]
  24 | 15.48× [14.72, 16.62] | 110.31× [105.70, 118.69] | 91.82× [86.83, 98.24] | 11.82× [11.35, 12.74] | 10.04× [ 9.62, 10.80] | 49.01× [46.97, 52.63] | 48.38× [46.30, 51.88]
  32 | 18.49× [17.72, 19.77] | 115.73× [110.30, 124.02] | 88.33× [84.84, 94.93] | 14.41× [13.37, 15.46] |  9.46× [ 8.93, 10.17] | 85.13× [81.72, 91.17] | 83.68× [80.18, 91.40]
  48 | 20.68× [19.80, 22.26] | 89.62× [76.89, 97.30] | 72.41× [64.57, 79.02] | 16.12× [15.47, 17.34] |  8.50× [ 8.12,  9.31] | 63.25× [60.65, 67.97] | 63.82× [61.18, 68.68]

