variant,N,P,edge_prob,seed,rep,seconds,colors,valid,rc
ghc,600,1,0.01,42,1,1.08704e-3,8,True,0
ghc,600,1,0.01,42,2,1.088666e-3,8,True,0
ghc,600,1,0.01,42,3,1.185237e-3,8,True,0
ghc,600,2,0.01,42,1,1.349397e-3,9,True,0
ghc,600,2,0.01,42,2,1.402844e-3,9,True,0
ghc,600,2,0.01,42,3,1.261313e-3,9,True,0
ghc,600,4,0.01,42,1,1.376832e-3,9,True,0
ghc,600,4,0.01,42,2,1.969595e-3,9,True,0
ghc,600,4,0.01,42,3,1.329976e-3,9,True,0
ghc,600,8,0.01,42,1,1.432636e-3,10,True,0
ghc,600,8,0.01,42,2,1.393193e-3,10,True,0
ghc,600,8,0.01,42,3,1.949842e-3,10,True,0
ghc,650,1,0.01,42,1,1.091622e-3,9,True,0
ghc,650,1,0.01,42,2,1.279749e-3,9,True,0
ghc,650,1,0.01,42,3,1.128643e-3,9,True,0
ghc,650,2,0.01,42,1,1.187198e-3,10,True,0
ghc,650,2,0.01,42,2,1.16463e-3,10,True,0
ghc,650,2,0.01,42,3,1.191976e-3,10,True,0
ghc,650,4,0.01,42,1,1.415127e-3,10,True,0
ghc,650,4,0.01,42,2,1.241226e-3,10,True,0
ghc,650,4,0.01,42,3,1.244407e-3,10,True,0
ghc,650,8,0.01,42,1,1.463434e-3,10,True,0
ghc,650,8,0.01,42,2,1.265719e-3,10,True,0
ghc,650,8,0.01,42,3,1.256433e-3,10,True,0
ghc,700,1,0.01,42,1,1.859589e-3,9,True,0
ghc,700,1,0.01,42,2,1.840603e-3,9,True,0
ghc,700,1,0.01,42,3,1.798613e-3,9,True,0
ghc,700,2,0.01,42,1,1.668299e-3,10,True,0
ghc,700,2,0.01,42,2,1.979508e-3,10,True,0
ghc,700,2,0.01,42,3,1.814184e-3,10,True,0
ghc,700,4,0.01,42,1,2.223072e-3,9,True,0
ghc,700,4,0.01,42,2,1.760269e-3,9,True,0
ghc,700,4,0.01,42,3,1.792362e-3,9,True,0
ghc,700,8,0.01,42,1,1.840425e-3,10,True,0
ghc,700,8,0.01,42,2,1.775772e-3,10,True,0
ghc,700,8,0.01,42,3,1.786325e-3,10,True,0
ghc,750,1,0.01,42,1,1.78754e-3,9,True,0
ghc,750,1,0.01,42,2,1.532058e-3,9,True,0
ghc,750,1,0.01,42,3,1.483967e-3,9,True,0
ghc,750,2,0.01,42,1,1.888158e-3,10,True,0
ghc,750,2,0.01,42,2,1.666967e-3,10,True,0
ghc,750,2,0.01,42,3,1.637564e-3,10,True,0
ghc,750,4,0.01,42,1,2.010059e-3,10,True,0
ghc,750,4,0.01,42,2,2.531303e-3,10,True,0
ghc,750,4,0.01,42,3,1.97917e-3,10,True,0
ghc,750,8,0.01,42,1,2.03874e-3,11,True,0
ghc,750,8,0.01,42,2,2.15757e-3,11,True,0
ghc,750,8,0.01,42,3,2.119979e-3,11,True,0
ghc,800,1,0.01,42,1,2.03885e-3,9,True,0
ghc,800,1,0.01,42,2,1.950177e-3,9,True,0
ghc,800,1,0.01,42,3,2.033436e-3,9,True,0
ghc,800,2,0.01,42,1,2.210814e-3,9,True,0
ghc,800,2,0.01,42,2,2.150773e-3,9,True,0
ghc,800,2,0.01,42,3,2.144587e-3,9,True,0
ghc,800,4,0.01,42,1,2.553219e-3,10,True,0
ghc,800,4,0.01,42,2,2.2668e-3,10,True,0
ghc,800,4,0.01,42,3,2.182119e-3,10,True,0
ghc,800,8,0.01,42,1,2.266214e-3,11,True,0
ghc,800,8,0.01,42,2,2.264709e-3,11,True,0
ghc,800,8,0.01,42,3,2.240687e-3,11,True,0
ghc,850,1,0.01,42,1,2.436427e-3,9,True,0
ghc,850,1,0.01,42,2,2.135881e-3,9,True,0
ghc,850,1,0.01,42,3,2.375674e-3,9,True,0
ghc,850,2,0.01,42,1,2.488424e-3,10,True,0
ghc,850,2,0.01,42,2,3.136207e-3,10,True,0
ghc,850,2,0.01,42,3,2.781692e-3,10,True,0
ghc,850,4,0.01,42,1,2.594819e-3,11,True,0
ghc,850,4,0.01,42,2,2.664691e-3,11,True,0
ghc,850,4,0.01,42,3,3.113846e-3,11,True,0
ghc,850,8,0.01,42,1,2.549112e-3,11,True,0
ghc,850,8,0.01,42,2,2.31089e-3,11,True,0
ghc,850,8,0.01,42,3,2.413191e-3,11,True,0
ghc,900,1,0.01,42,1,2.556475e-3,10,True,0
ghc,900,1,0.01,42,2,2.859928e-3,10,True,0
ghc,900,1,0.01,42,3,2.447169e-3,10,True,0
ghc,900,2,0.01,42,1,2.621127e-3,11,True,0
ghc,900,2,0.01,42,2,3.573511e-3,11,True,0
ghc,900,2,0.01,42,3,2.976834e-3,11,True,0
ghc,900,4,0.01,42,1,3.000626e-3,10,True,0
ghc,900,4,0.01,42,2,2.83234e-3,10,True,0
ghc,900,4,0.01,42,3,2.854076e-3,10,True,0
ghc,900,8,0.01,42,1,3.796303e-3,10,True,0
ghc,900,8,0.01,42,2,2.981762e-3,10,True,0
ghc,900,8,0.01,42,3,2.991519e-3,10,True,0
ghc,950,1,0.01,42,1,3.000341e-3,10,True,0
ghc,950,1,0.01,42,2,2.944978e-3,10,True,0
ghc,950,1,0.01,42,3,3.15318e-3,10,True,0
ghc,950,2,0.01,42,1,2.923436e-3,11,True,0
ghc,950,2,0.01,42,2,3.350015e-3,11,True,0
ghc,950,2,0.01,42,3,3.309257e-3,11,True,0
ghc,950,4,0.01,42,1,2.965061e-3,11,True,0
ghc,950,4,0.01,42,2,3.112074e-3,11,True,0
ghc,950,4,0.01,42,3,3.294644e-3,11,True,0
ghc,950,8,0.01,42,1,3.1489e-3,11,True,0
ghc,950,8,0.01,42,2,3.185099e-3,11,True,0
ghc,950,8,0.01,42,3,3.26221e-3,11,True,0
ghc,1000,1,0.01,42,1,3.038589e-3,10,True,0
ghc,1000,1,0.01,42,2,3.003002e-3,10,True,0
ghc,1000,1,0.01,42,3,3.357036e-3,10,True,0
ghc,1000,2,0.01,42,1,3.180792e-3,11,True,0
ghc,1000,2,0.01,42,2,3.292411e-3,11,True,0
ghc,1000,2,0.01,42,3,3.206153e-3,11,True,0
ghc,1000,4,0.01,42,1,3.417261e-3,11,True,0
ghc,1000,4,0.01,42,2,3.312916e-3,11,True,0
ghc,1000,4,0.01,42,3,3.380022e-3,11,True,0
ghc,1000,8,0.01,42,1,3.311117e-3,12,True,0
ghc,1000,8,0.01,42,2,3.307267e-3,12,True,0
ghc,1000,8,0.01,42,3,3.762534e-3,12,True,0
