variant,N,P,imb,delta,rep,seconds,rc
super,5000,2,1,2,1,0.666807,0
super,5000,2,1,2,2,0.688342,0
super,5000,2,1,2,3,0.664266,0
super,5000,2,1,2,4,0.640686,0
super,5000,2,1,2,5,0.707384,0
super,5000,2,1,2,6,0.727317,0
super,5000,2,1,2,7,0.677893,0
super,5000,2,1,2,8,0.665304,0
super,5000,2,1,2,9,0.667517,0
super,5000,2,1,2,10,0.650132,0
super,6000,2,1,2,1,0.647573,0
super,6000,2,1,2,2,0.665196,0
super,6000,2,1,2,3,0.662721,0
super,6000,2,1,2,4,0.644123,0
super,6000,2,1,2,5,0.664568,0
super,6000,2,1,2,6,0.656194,0
super,6000,2,1,2,7,0.640559,0
super,6000,2,1,2,8,0.661673,0
super,6000,2,1,2,9,0.725431,0
super,6000,2,1,2,10,0.660079,0
super,7000,2,1,2,1,0.663520,0
super,7000,2,1,2,2,0.725555,0
super,7000,2,1,2,3,0.678150,0
super,7000,2,1,2,4,0.775368,0
super,7000,2,1,2,5,0.667215,0
super,7000,2,1,2,6,0.771406,0
super,7000,2,1,2,7,0.765583,0
super,7000,2,1,2,8,0.655987,0
super,7000,2,1,2,9,0.758432,0
super,7000,2,1,2,10,0.669634,0
super,8000,2,1,2,1,0.675870,0
super,8000,2,1,2,2,0.755843,0
super,8000,2,1,2,3,0.670305,0
super,8000,2,1,2,4,0.719950,0
super,8000,2,1,2,5,0.755011,0
super,8000,2,1,2,6,0.674695,0
super,8000,2,1,2,7,0.781292,0
super,8000,2,1,2,8,0.775023,0
super,8000,2,1,2,9,0.636048,0
super,8000,2,1,2,10,0.631924,0
super,9000,2,1,2,1,0.618639,0
super,9000,2,1,2,2,0.635068,0
super,9000,2,1,2,3,0.655473,0
super,9000,2,1,2,4,0.656810,0
super,9000,2,1,2,5,0.659990,0
super,9000,2,1,2,6,0.663086,0
super,9000,2,1,2,7,0.641071,0
super,9000,2,1,2,8,0.664515,0
super,9000,2,1,2,9,0.656922,0
