variant,N,cutoff,P,rep,seconds,checksum,expected
ribault_c,3000000,512,8,6,0.113357646,3299331579,3299331579
ribault_c,3000000,512,8,7,0.112777418,3299331579,3299331579
ribault_rust,3000000,512,8,1,0.114993613,3299331579,3299331579
ribault_rust,3000000,512,8,2,0.118903467,3299331579,3299331579
ribault_rust,3000000,512,8,3,0.116536808,3299331579,3299331579
ribault_rust,3000000,512,8,4,0.111080658,3299331579,3299331579
ribault_rust,3000000,512,8,5,0.117533998,3299331579,3299331579
ribault_rust,3000000,512,8,6,0.110315396,3299331579,3299331579
ribault_rust,3000000,512,8,7,0.112225527,3299331579,3299331579
ribault_hs,3000000,512,8,1,0.143243896,3299331579,3299331579
ribault_hs,3000000,512,8,2,0.140660814,3299331579,3299331579
ribault_hs,3000000,512,8,3,0.133166616,3299331579,3299331579
ribault_hs,3000000,512,8,4,0.139300562,3299331579,3299331579
ribault_hs,3000000,512,8,5,0.131125553,3299331579,3299331579
ribault_hs,3000000,512,8,6,0.135466378,3299331579,3299331579
ribault_hs,3000000,512,8,7,0.127421295,3299331579,3299331579
strategies,3000000,512,8,1,0.223910366,3299331579,3299331579
strategies,3000000,512,8,2,0.239546779,3299331579,3299331579
strategies,3000000,512,8,3,0.269561458,3299331579,3299331579
strategies,3000000,512,8,4,0.213122756,3299331579,3299331579
strategies,3000000,512,8,5,0.225339087,3299331579,3299331579
strategies,3000000,512,8,6,0.221473591,3299331579,3299331579
strategies,3000000,512,8,7,0.221655574,3299331579,3299331579
parpseq,3000000,512,8,1,0.620278352,3299331579,3299331579
parpseq,3000000,512,8,2,0.358343208,3299331579,3299331579
parpseq,3000000,512,8,3,0.358324758,3299331579,3299331579
parpseq,3000000,512,8,4,0.365173128,3299331579,3299331579
parpseq,3000000,512,8,5,0.363269167,3299331579,3299331579
parpseq,3000000,512,8,6,0.61209628,3299331579,3299331579
parpseq,3000000,512,8,7,0.369185023,3299331579,3299331579
sucuri,3000000,512,8,1,0.25033603236079216,3299331579,3299331579
sucuri,3000000,512,8,2,0.25492653623223305,3299331579,3299331579
sucuri,3000000,512,8,3,0.24624588713049889,3299331579,3299331579
sucuri,3000000,512,8,4,0.24926947802305222,3299331579,3299331579
sucuri,3000000,512,8,5,0.26138684898614883,3299331579,3299331579
sucuri,3000000,512,8,6,0.254346527159214,3299331579,3299331579
sucuri,3000000,512,8,7,0.25104834511876106,3299331579,3299331579
